"1. By clicking ""I Agree"" below, you acknowledge that you have read and understood this information, 18 or above and consent to participate in the survey under these terms.",2. What is your age range?,3. How would you describe your financial management skills?,"4. Have you used any budgeting apps before? If yes, which ones?",5. How easy was it to register for an account on the app?,6. How smooth was the login process?,7. Were the steps to connect your bank account clear and understandable?,8. How secure did you feel providing your bank account information?,9. How intuitive was the process of creating a new budget category?,10. Did the app provide sufficient options for budget customization?,"11. How helpful were the visual representations of budget progress (e.g., progress bars)?",12. How accurate was the automatic categorization of your transactions?,13. Did the app provide meaningful insights into your spending habits?,14. Did you receive timely notifications when your budget limits were approaching or exceeded?,15. How informative and actionable were the notification messages?,16. Did the notifications help you stay on track with your budget?,17. How easy was it to navigate to your profile settings?,18. Did the app provide sufficient options for customizing your profile and preferences?,19. How straightforward was the process of managing linked accounts?,20. How would you rate the overall user experience of the app?,21. Did the app meet your expectations for a budgeting and payment tool?,22. How likely are you to recommend this app to others?,23. What did you like most about the app?,24. What areas of the app do you think need improvement?,25. Do you have any additional features or suggestions you would like to see in future versions of the app?
I Agree,25-34,Beginner,mint,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Agree,Very helpful,Very accurate,Agree,Yes,Very informative and actionable,Strongly agree,Very easy,Agree,Very straightforward,Excellent,Exceeded expectations,Very likely,Intuitive interface,More customization options,Goal setting
I Agree,35-44,Intermediate,YNAB,Easy,Smooth,Clear,Secure,Intuitive,Strongly agree,Helpful,Accurate,Strongly agree,Yes,Very informative and actionable,Agree,Easy,Strongly agree,Straightforward,Good,Met expectations,Likely,Helpful visualizations,Additional integrations,Savings tracker
I Agree,18-24,Novice,no,Moderate,Very smooth,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Average,Neutral,Neutral,Accurate categorization,search filters,Investment tracking
I Agree,25-34,Advanced,PocketGuard,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Strongly agree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Very likely,Accurate categorization,More customization options,Goal setting
I Agree,45-54,Beginner,no,Easy,Smooth,Clear,Secure,Intuitive,Agree,Helpful,Accurate,Agree,Yes,Informative and actionable,Agree,Easy,Agree,Straightforward,Good,Met expectations,Likely,Intuitive interface,Additional integrations,Savings tracker
I Agree,35-44,Intermediate,"Mint, YNAB",Very easy,Very smooth,Clear,Secure,Intuitive,Agree,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Exceeded expectations,Very likely,"Helpful visualizations, Accurate categorization",More customization options,Investment tracking
I Agree,25-34,Beginner,no,Easy,Smooth,Very clear,Very secure,Very intuitive,Strongly agree,Helpful,Very accurate,Agree,Yes,Very informative and actionable,Agree,Easy,Strongly agree,Very straightforward,Good,Met expectations,Likely,Intuitive interface,search filters,
I Agree,18-24,Novice,PocketGuard,Moderate,Very smooth,Neutral,Secure,Intuitive,Agree,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Exceeded expectations,Very likely,Helpful visualizations,More customization options,Goal setting
I Agree,45-54,Advanced,,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Strongly agree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Very likely,"Intuitive interface, Accurate categorization",None,None
I Agree,25-34,Intermediate,Yes (Mint),Easy,Smooth,Clear,Secure,Intuitive,Agree,Helpful,Accurate,Agree,Yes,Informative and actionable,Agree,Easy,Agree,Straightforward,Good,Met expectations,Likely,Helpful visualizations," Additional integrations",Savings tracker
I Agree,18-24,Beginner,,Very easy,Very smooth,Clear,Very secure,Intuitive,Agree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Very likely,"Intuitive interface, Helpful visualizations",none,none
I Agree,35-44,Advanced,,Easy,Smooth,Very clear,Secure,Very intuitive,Strongly agree,Helpful,Accurate,Agree,Yes,Informative and actionable,Agree,Easy,Agree,Straightforward,Good,Met expectations,Likely," Accurate categorization",Additional integrations,Investment tracking
I Agree,25-34,Novice,Yes (PocketGuard),Moderate,Very smooth,Neutral,Secure,Intuitive,Agree,Very helpful,Accurate,Agree,Yes,Very informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Exceeded expectations,Very likely,Helpful visualizations,More customization options,Goal setting
I Agree,45-54,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Strongly agree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Very likely,none,none,none
I Agree,35-44,Intermediate,,Very easy,Very smooth,Very clear,Secure,Intuitive,Strongly agree,Very helpful,Very accurate,Neutral,Yes,Neutral,Strongly agree,Easy,Strongly agree,Straightforward,Excellent,Met expectations,Likely,none,search filters,none
I Agree,35-44,Advanced,no,Very easy,Smooth,Clear,Very secure,Intuitive,Agree,Very helpful,Very accurate,Agree,Yes,Neutral,Agree,Easy,Strongly agree,Straightforward,Good,Met expectations,Likely,none,search filters,none
I Agree,35-44,Intermediate,no,Easy,Smooth,Very clear,Secure,Very intuitive,Agree,Helpful,Accurate,Strongly agree,Yes,Neutral,Strongly agree,Very easy,Agree,Straightforward,Good,Met expectations,Likely,none,none,none
I Agree,25-34,Intermediate,no,Very easy,Smooth,Clear,Very secure,Intuitive,Neutral,Helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Easy,Strongly agree,Straightforward,Good,Met expectations,Likely,none,none,Savings tracker
I Agree,45-54,Intermediate,,Moderate,Very smooth,Clear,Very secure,Neutral,Neutral,Very helpful,Accurate,Agree,Yes,Very informative and actionable,Agree,Very easy,Agree,Straightforward,Excellent,Met expectations,Likely,Helpful visualizations,More customization options," Goal setting"
I Agree,25-34,Advanced,mint,Very easy,Very smooth,Very clear,Secure,Very intuitive,Neutral,Neutral,Accurate,Strongly agree,Yes,Neutral,Strongly agree,Very easy,Strongly agree,Straightforward,Excellent,Met expectations,Very likely,Accurate categorization," Additional integrations",Investment tracking
I Agree,25-34,Beginner,no,Very easy,Smooth,Clear,Secure,Intuitive,Agree,Neutral,Accurate,Agree,Yes,Very informative and actionable,Strongly agree,Easy,Strongly agree,Very straightforward,Good,Met expectations,Very likely,none,additional account linking,none
I Agree,18-24,Beginner,no,Easy,Very smooth,Very clear,Very secure,Very intuitive,Neutral,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Easy,Strongly agree,Straightforward,Excellent,Met expectations,Very likely,Notification,Customize Categorization,none
I Agree,25-34,Novice,no,Easy,Smooth,Very clear,Very secure,Neutral,Disagree,Helpful,Accurate,Neutral,Yes,Informative and actionable,Agree,Easy,Strongly agree,Straightforward,Good,Met expectations,Very likely,Notification,none,none
I Agree,45-54,Intermediate,"yes mint
",Very easy,Very smooth,Very clear,Very secure,Intuitive,Disagree,Helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Easy,Agree,Very straightforward,Excellent,Met expectations,Likely,Notification,none,none
I Agree,25-34,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Neutral,Very helpful,Neutral,Neutral,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Very straightforward,Excellent,Met expectations,Very likely,Notification,none,none
I Agree,25-34,Advanced,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Disagree,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Neutral,Very straightforward,Excellent,Met expectations,Very likely,Notification," none",none
I Agree,35-44,Advanced,no,Very easy,Very smooth,Very clear,Very secure,Intuitive,Neutral,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Neutral,Agree,Straightforward,Excellent,Met expectations,Likely,Notification,none,none
I Agree,25-34,Novice,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Disagree,Very helpful,Accurate,Strongly agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Met expectations,Very likely,Notification,customized budget category,none
I Agree,35-44,Novice,no,Easy,Smooth,Clear,Secure,Neutral,Disagree,Very helpful,Accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Strongly agree,Very straightforward,Good,Met expectations,Very likely,Notification,customized budget customization,none
I Agree,35-44,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Disagree,Very helpful,Accurate,Neutral,Yes,Very informative and actionable,Strongly agree,Easy,Strongly agree,Straightforward,Good,Met expectations,Very likely,Notification,Customized budget,none
I Agree,18-24,Novice,no,Very easy,Very smooth,Very clear,Very secure,Intuitive,Disagree,Helpful,Very accurate,Agree,Yes,Neutral,Neutral,Easy,Strongly agree,Straightforward,Good,Exceeded expectations,Likely,Notification,Better budget customization interface,none
I Agree,18-24,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Intuitive,Disagree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Easy,Agree,Very straightforward,Average,Neutral,Likely,none,none,none
I Agree,25-34,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Disagree,Very helpful,Accurate,Neutral,Yes,Neutral,Strongly agree,Easy,Neutral,Straightforward,Good,Met expectations,Likely,none,none,none
I Agree,35-44,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Disagree,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Agree,Straightforward,Good,Met expectations,Very likely,Notification,none,none
I Agree,35-44,Intermediate,no,Easy,Smooth,Very clear,Very secure,Intuitive,Disagree,Helpful,Accurate,Neutral,Yes,Neutral,Strongly agree,Easy,Neutral,Straightforward,Good,Met expectations,Likely,Notification,multiple account linking,none
I Agree,18-24,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Neutral,Very helpful,Very accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Very straightforward,Excellent,Met expectations,Very likely,none,none,none
I Agree,25-34,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Neutral,Disagree,Very helpful,Accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Agree,Straightforward,Excellent,Met expectations,Likely,Notification,none,none
I Agree,25-34,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Agree,Very straightforward,Excellent,Met expectations,Very likely,Notification,none,none
I Agree,25-34,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Met expectations,Very likely,Notification,none,none
I Agree,35-44,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Agree,Straightforward,Excellent,Met expectations,Very likely,Notification,none,none
I Agree,35-44,Novice,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Agree,Straightforward,Excellent,Met expectations,Likely,Notification,More Spending Analysis,none
I Agree,25-34,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Very easy,Neutral,Very straightforward,Excellent,Met expectations,Likely,"Email Notification ",none,none
I Agree,45-54,Advanced,yes YNAB,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Difficult,Agree,Very straightforward,Excellent,Met expectations,Likely,Email Notification,Faster Load Time,none
I Agree,45-54,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Agree,Very straightforward,Excellent,Met expectations,Likely,Email Notification,none,none
I Agree,25-34,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Very informative and actionable,Strongly agree,Very easy,Agree,Very straightforward,Excellent,Met expectations,Very likely,Email Notification,faster load time,none
I Agree,45-54,Advanced,yes mint,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Strongly agree,Yes,Very informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Exceeded expectations,Likely,Email Notification,Better UI,none
I Agree,25-34,Beginner,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Very informative and actionable,Strongly agree,Easy,Neutral,Very straightforward,Excellent,Met expectations,Likely,UI,Faster Load times,none
I Agree,18-24,Novice,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Strongly disagree,Very helpful,Accurate,Neutral,Yes,Very informative and actionable,Strongly agree,Very easy,Agree,Very straightforward,Excellent,Exceeded expectations,Very likely,Email Notification,Better UI,none
I Agree,25-34,Intermediate,no,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Neutral,Very helpful,Very accurate,Agree,Yes,Informative and actionable,Strongly agree,Very easy,Strongly agree,Very straightforward,Excellent,Met expectations,Very likely,notification,Customized budget,
I Agree,35-44,Advanced,yes mint,Very easy,Very smooth,Very clear,Very secure,Very intuitive,Disagree,Very helpful,Very accurate,Neutral,Yes,Informative and actionable,Strongly agree,Easy,Agree,Straightforward,Good,Met expectations,Likely,,,